species;order;CMR;n_dead_ind;known_deaths;n_neoplasia;n_no_neoplasia;body_mass_kg;metabolic_rate;life_expectancy_d;gestation_length_d;litter_size_n;total_litters;litters;breeding_system;paternal_care;group_living;animal
Desmodus_rotundus;Chiroptera;0,0769;324;39;3;36;0,03;194;3650,27;189;1;35,80816438;Monotocous;PluralBreeder;No;yes;1
Dolichotis_patagonum;Rodentia;0;1730;213;0;213;7,63;NA;1834,76;91;1,875;91,65924658;Polytocous;SingularBreeder;No;yes;0
Echinops_telfairi;Afrosoricida;0,0571;539;35;2;33;0,15;0,75;2720,27;57,828;5,49;100,1222581;Polytocous;SingularBreeder;No;no;1
Eidolon_helvum;Chiroptera;0,1429;569;35;5;30;0,3;NA;5507,59;219,68;1,04;21,18177688;Monotocous;PluralBreeder;No;yes;0
Elaphurus_davidianus;Artiodactyla;0,0164;528;61;1;60;192,41;NA;3076,13;286,453;1,11;28,02708641;Monotocous;NA;NA;NA;0
Equus_grevyi;Perissodactyla;0,0385;496;52;2;50;389,48;NA;4916,47;405,714;1;13,7575863;Monotocous;PluralBreeder;No;no;0
Equus_hemionus;Perissodactyla;0,0303;309;33;1;32;222,71;NA;4329,82;346;1;24,94109589;Monotocous;PluralBreeder;No;yes;0
Equus_quagga;Perissodactyla;0,0097;1343;103;1;102;294,23;NA;5446,34;366,485;1;22,8904071;Monotocous;NA;NA;yes;0
Equus_zebra;Perissodactyla;0;212;24;0;24;323,98;NA;4320,68;363,49;1;18,26136986;Monotocous;PluralBreeder;No;yes;0
Erythrocebus_patas;Primates;0,0588;241;34;2;32;10,49;5,958;4237,94;167,2;1;25,62120822;Monotocous;PluralBreeder;No;yes;0
Eudorcas_thomsonii;Artiodactyla;0,039;447;77;3;74;20,47;NA;2162,64;170,746;1;28,5;Monotocous;PluralBreeder;No;yes;0
Eulemur_macaco;Primates;0,12;232;25;3;22;2,47;NA;5478,84;127,245;1,04;38,83794521;Monotocous;PluralBreeder;No;yes;0
