common_name;species;malignancy_prevalence;malignancy_prevalence reference;group_living;group_living_reference;breeding_system;adult_mass_kg;log_adult_mass_kg;log_adult_mass_kg_category;metabolic_rate_W;log_metabolic_rate_W;log_metabolic_rate_W_category;metabolic_rate_reference;max_lifespan_d;log_max_lifespan_d;log_max_lifespan_d_category;litter_size;litters
Common dolphin;Delphinus delphis;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;77,818;4,354;>1;;;;;10594,125;9,268;>9;0,99;monotocous
Vampire bat;Desmodus rotundus;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;0,033;-3,406;<1;0,194;-1,64;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;10658;9,274;>9;1;monotocous
Virginia opossum;Didelphis virginiana;High;https://doi.org/10.1158/2159-8290.CD-24-0573;no;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Singular;1,415;0,347;<1;5,299;1,668;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;2555;7,846;<9;6,645;polytocous
Asian elephant;Elephas maximus;Low;https://doi.org/10.1038%2Fs41568-018-0004-9;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;3220;8,077;>1;2336,5;7,756;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;29200;10,282;>9;1;monotocous
Sea otter;Enhydra lutris;Low;https://doi.org/10.1016%2FB978-0-12-804310-3.00002-8;;;Singular;27,411;3,311;>1;98,479;4,59;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;10950;9,301;>9;1;monotocous
Short-finned pilot whale;Globicephala macrorhynchus;Low;https://doi.org/10.1289/ehp.02110285 / https://doi.org/10.1093/icb/icm062 ;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;726;6,588;>1;;;;;22995;10,043;>9;1;monotocous
Naked mole rat;Heterocephalus glaber;Low;https://doi.org/10.1038%2Fs41568-018-0004-9;yes;https://doi.org/10.1007/s002650050669;Singular;0,035;-3,352;<1;0,128;-2,056;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;10329,5;9,243;>9;8,95;polytocous
Striped grass mouse;Lemniscomys striatus;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;;;;0,042;-3,163;<1;;;;;1761,125;7,474;<9;4,54;polytocous
Ring-tailed lemur;Lemur catta;High;https://doi.org/10.1158/2159-8290.CD-24-0573;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;2,555;0,938;<1;;;;;13614,5;9,519;>9;1,105;monotocous
African elephant;Loxodonta africana;Low;https://doi.org/10.1038%2Fs41568-018-0004-9;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;4565;8,426;>1;1410,93;7,252;>1;https://doi.org/10.1242/jeb.198.3.629;29200;10,282;>9;1;monotocous
Cape hunting dog;Lycaon pictus;High;https://doi.org/10.1158/2159-8290.CD-24-0573;yes;https://doi.org/10.1515/9780691207247-025;Singular;24,25;3,188;>1;33,01;3,497;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;6205;8,733;<9;7,495;polytocous
Sulawesi crested macaque;Macaca nigra;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;7,662;2,036;>1;;;;;12410;9,426;>9;1;monotocous
Parma wallaby;Macropus parma;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;;;;4,203;1,436;>1;;;;;5803,5;8,666;<9;0,95;monotocous
Short-eared elephant shrew;Macroscelides proboscideus;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;no;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Singular;0,04;-3,231;<1;0,292;-1,231;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;3175,5;8,063;<9;1,6;polytocous
California leaf nosed bat;Macrotus californicus;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;;;;0,012;-4,423;<1;0,082;-2,501;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;6375,333;8,76;<9;1;monotocous
Silvery marmoset;Mico argentatus;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;;;;0,357;-1,029;<1;;;;;6132;8,721;<9;1,87;polytocous
